scheduler_type,elapsed_time_sec,job_a_state,job_b_state,allocated_gpus,productive_gpus,deadlocked_gpus,wasted_cost_usd,successful_jobs
standard,347,running_rendezvous,running_rendezvous,32,0,32,11.352533333333332,0
standard,348,running_rendezvous,running_rendezvous,32,0,32,11.385155555555555,0
standard,349,running_rendezvous,running_rendezvous,32,0,32,11.417777777777777,0
standard,350,running_rendezvous,running_rendezvous,32,0,32,11.450399999999998,0
standard,351,running_rendezvous,running_rendezvous,32,0,32,11.483022222222221,0
standard,352,running_rendezvous,running_rendezvous,32,0,32,11.515644444444444,0
standard,353,running_rendezvous,running_rendezvous,32,0,32,11.548266666666665,0
standard,354,running_rendezvous,running_rendezvous,32,0,32,11.580888888888888,0
standard,355,running_rendezvous,running_rendezvous,32,0,32,11.61351111111111,0
standard,356,running_rendezvous,running_rendezvous,32,0,32,11.646133333333331,0
standard,357,running_rendezvous,running_rendezvous,32,0,32,11.678755555555554,0
standard,358,running_rendezvous,running_rendezvous,32,0,32,11.711377777777777,0
standard,359,running_rendezvous,running_rendezvous,32,0,32,11.744,0
standard,360,running_rendezvous,running_rendezvous,32,0,32,11.77662222222222,0
standard,361,running_rendezvous,running_rendezvous,32,0,32,11.809244444444444,0
standard,362,running_rendezvous,running_rendezvous,32,0,32,11.841866666666666,0
standard,363,running_rendezvous,running_rendezvous,32,0,32,11.874488888888887,0
standard,364,running_rendezvous,running_rendezvous,32,0,32,11.90711111111111,0
standard,365,running_rendezvous,running_rendezvous,32,0,32,11.939733333333333,0
standard,366,running_rendezvous,running_rendezvous,32,0,32,11.972355555555554,0
standard,367,running_rendezvous,running_rendezvous,32,0,32,12.004977777777777,0
standard,368,running_rendezvous,running_rendezvous,32,0,32,12.0376,0
